block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
26,5,8.0,10.0,10,0.2194331276754904,0.7404761624225912
26,6,10.0,12.0,10,0.05518653455610332,0.7624310799775863
26,7,12.0,14.0,10,0.14422572677524634,0.7217046027543668
26,8,14.0,16.0,10,0.25349007429341036,0.7633055149954077
26,9,16.0,18.0,6,-0.07778216798503179,0.7772348682276135
26,10,18.0,20.0,12,0.2573195542115155,0.7884265957320754
26,11,20.0,22.0,10,0.20170792653899394,0.7489378057815459
26,12,22.0,24.0,10,0.37799377583817445,0.7593816046343733
27,1,0.0,2.0,10,-0.153700768461559,0.7589372746789312
27,2,2.0,4.0,12,0.10242939430011695,0.7335700803982429
27,3,4.0,6.0,10,0.12957333913854868,0.7706358225779585
27,4,6.0,8.0,8,0.009698618312583266,0.7921506587932002
27,5,8.0,10.0,10,0.12359453705968004,0.7147933459640723
27,6,10.0,12.0,10,0.22112931950951023,0.7735721167818156
27,7,12.0,14.0,10,0.5761170261487811,0.7453295584330449
27,8,14.0,16.0,10,0.4077117228613114,0.7756448660233447
27,9,16.0,18.0,6,0.0725848058673043,0.7796518162362339
27,10,18.0,20.0,12,0.08414516948096117,0.7658481676756909
27,11,20.0,22.0,10,0.10298703041259161,0.7411676262521409
27,12,22.0,24.0,10,0.20366771389871777,0.7861789931876494
28,1,0.0,2.0,10,-0.11742662848647539,0.72239649455561
28,2,2.0,4.0,12,0.20421354777750533,0.7183951349560382
28,3,4.0,6.0,10,-0.04176578242464597,0.7502787695813383
28,4,6.0,8.0,8,0.050171356206957535,0.7602181917556445
28,5,8.0,10.0,10,-0.004976577098241074,0.7395749390339548
28,6,10.0,12.0,10,0.10326592161954418,0.7413490085990304
28,7,12.0,14.0,10,0.20670941122805953,0.7602921864087548
28,8,14.0,16.0,10,0.03865497120786585,0.7461499702422539
28,9,16.0,18.0,6,-0.00035714049844184724,0.791843402932308
28,10,18.0,20.0,12,0.14755809326914301,0.7427871577205133
28,11,20.0,22.0,10,0.18710436893608492,0.7655996867617358
28,12,22.0,24.0,10,0.07573188606764708,0.7779993980174237
29,1,0.0,2.0,10,0.07004951700692469,0.7510782086442226
29,2,2.0,4.0,12,0.12097739868544626,0.7583724736777392
29,3,4.0,6.0,10,0.19221284769497443,0.7326262379585099
29,4,6.0,8.0,8,0.06087842071250083,0.7634177933618732
29,5,8.0,10.0,10,0.027988965406843987,0.7480947819433695
29,6,10.0,12.0,10,0.04360280865264037,0.782793155982756
29,7,12.0,14.0,10,0.5629970028025929,0.7602169450364268
29,8,14.0,16.0,10,0.22136792190609098,0.756052297150546
29,9,16.0,18.0,6,0.13473613163900847,0.813750706231183
29,10,18.0,20.0,12,0.20077098656145742,0.752207801939019
29,11,20.0,22.0,10,0.015346749671722181,0.7397754891130586
29,12,22.0,24.0,10,0.17152106482507898,0.7772353135695602
30,1,0.0,2.0,10,-0.3408148829133828,0.7449303242923194
30,2,2.0,4.0,12,0.1752264578188509,0.7474810128870243
