block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
18,9,16.0,18.0,9,-0.13819116206471188,0.7820203526059464
18,10,18.0,20.0,13,-0.165161322987968,0.7519689835141258
18,11,20.0,22.0,9,-0.21349314276293863,0.7517859768297175
18,12,22.0,24.0,11,-0.1727621515934185,0.7342790340086871
19,1,0.0,2.0,15,-0.3027773628182305,0.7249856165753005
19,2,2.0,4.0,11,-0.12378313813057958,0.7272032412050091
19,3,4.0,6.0,8,-0.18859382133579877,0.7337822305604245
19,4,6.0,8.0,11,0.06910170207361599,0.7495186516729393
19,5,8.0,10.0,9,-0.013774292509803686,0.762254850777548
19,6,10.0,12.0,14,0.1171269063315587,0.7122310386169526
19,7,12.0,14.0,8,-0.016256970923024038,0.7562649744892376
19,8,14.0,16.0,12,-0.07013057772730436,0.7457688898724333
19,9,16.0,18.0,9,-0.029675898947198437,0.7676602153027976
19,10,18.0,20.0,13,-0.25652309600254436,0.7521523692734899
19,11,20.0,22.0,9,-0.1777103524532256,0.7332627388811164
19,12,22.0,24.0,11,0.03535875567721763,0.6859098534914762
20,1,0.0,2.0,15,0.06998585513432894,0.7011508557067302
20,2,2.0,4.0,11,-0.1511674230681698,0.7215577750830495
20,3,4.0,6.0,8,-0.06821989567634146,0.7927700166395889
20,4,6.0,8.0,11,0.24850969168195036,0.7633311906319054
20,5,8.0,10.0,9,0.2622235530867154,0.7818642695252903
20,6,10.0,12.0,14,0.08839617779587809,0.692144700665968
20,7,12.0,14.0,8,0.1624142909136561,0.788699690346759
20,8,14.0,16.0,12,-0.11422654588120577,0.7519646558519463
20,9,16.0,18.0,9,-0.1933615223174342,0.754582052952679
20,10,18.0,20.0,13,0.007739096725720135,0.7635640260397203
20,11,20.0,22.0,9,-0.1399102004264455,0.7375211880052901
20,12,22.0,24.0,11,-0.2112445325960971,0.7184818117145267
21,1,0.0,2.0,15,-0.09659490606214534,0.7349535610164644
21,2,2.0,4.0,11,-0.1668573826155054,0.6966113491411295
21,3,4.0,6.0,8,-0.10337624067652038,0.7264838625090073
21,4,6.0,8.0,11,0.058346944933821525,0.7901571908267973
21,5,8.0,10.0,9,-0.005910461764956934,0.7578117632453969
21,6,10.0,12.0,14,0.2481515564740526,0.7180571142566909
21,7,12.0,14.0,8,-0.007584063889497569,0.7735885256661662
