r_A,pair,ML_g,ML_sem,AIMD_g,AIMD_sem,difference_ML_minus_AIMD
1.22500,O-O,0,0,0,0,0
1.22500,O-H,0,0,0,0,0
1.23500,Si-O,0,0,0,0,0
1.23500,O-O,0,0,0,0,0
1.23500,O-H,0,0,0,0,0
1.24500,Si-O,0,0,0,0,0
1.24500,O-O,0,0,0,0,0
1.24500,O-H,0,0,0,0,0
1.25500,Si-O,0,0,0,0,0
1.25500,O-O,0,0,0,0,0
1.25500,O-H,0,0,0,0,0
1.26500,Si-O,0,0,0,0,0
1.26500,O-O,0,0,0,0,0
1.26500,O-H,0,0,0.0009241524828,0.0009236902909,-0.0009241524828
1.27500,Si-O,0,0,0,0,0
1.27500,O-O,0,0,0,0,0
1.27500,O-H,0,0,0,0,0
1.28500,Si-O,0,0,0,0,0
1.28500,O-O,0,0,0,0,0
1.28500,O-H,0,0,0,0,0
1.29500,Si-O,0,0,0,0,0
1.29500,O-O,0,0,0,0,0
1.29500,O-H,0,0,0.0008818307774,0.0008813897517,-0.0008818307774
1.30500,Si-O,0,0,0,0,0
1.30500,O-O,0,0,0,0,0
1.30500,O-H,0,0,0,0,0
1.31500,Si-O,0,0,0,0,0
1.31500,O-O,0,0,0,0,0
1.31500,O-H,0,0,0.0008552111386,0.0008547834261,-0.0008552111386
1.32500,Si-O,0,0,0,0,0
1.32500,O-O,0,0,0,0,0
1.32500,O-H,0.0008423510649,0.0008419297841,0.0008423510649,0.0008419297841,0
1.33500,Si-O,0,0,0,0,0
1.33500,O-O,0,0,0,0,0
1.33500,O-H,0,0,0.001659557792,0.001172310497,-0.001659557792
1.34500,Si-O,0,0,0,0,0
1.34500,O-O,0,0,0,0,0
1.34500,O-H,0.001634972204,0.001154943254,0.003269944408,0.001631698983,-0.001634972204
1.35500,Si-O,0,0,0,0,0
1.35500,O-O,0,0,0,0,0
1.35500,O-H,0.003221857863,0.001607703845,0.003221857863,0.001607703845,0
1.36500,Si-O,0,0,0,0,0
1.36500,O-O,0,0,0,0,0
1.36500,O-H,0.006349648566,0.002235941989,0.003968530354,0.001770338217,0.002381118212
1.37500,Si-O,0,0,0,0,0
1.37500,O-O,0,0,0,0,0
1.37500,O-H,0.003128813148,0.001561274626,0.003128813148,0.001561274626,0
1.38500,Si-O,0,0,0,0,0
1.38500,O-O,0,0,0,0,0
1.38500,O-H,0.00848043635,0.002542845666,0.00848043635,0.002542845666,0
1.39500,Si-O,0,0,0,0,0
1.39500,O-O,0,0,0,0,0
1.39500,O-H,0.01063909552,0.0028234438,0.02279806182,0.004099427091,-0.0121589663
1.40500,Si-O,0,0,0,0,0
1.40500,O-O,0,0,0,0,0
1.40500,O-H,0.006742407155,0.002237332582,0.02247469052,0.004177848237,-0.01573228336
1.41500,Si-O,0,0,0,0,0
1.41500,O-O,0,0,0,0,0
1.41500,O-H,0.01477210057,0.003269943853,0.03323722628,0.004953336656,-0.01846512571
1.42500,Si-O,0,0,0,0,0
1.42500,O-O,0,0,0,0,0
1.42500,O-H,0.02767445219,0.004403264467,0.05316407921,0.006078850439,-0.02548962702
1.43500,Si-O,0,0,0,0,0
1.43500,O-O,0,0,0,0,0
1.43500,O-H,0.0359080145,0.005052705514,0.0502712203,0.005794445492,-0.0143632058
1.44500,Si-O,0,0,0,0,0
1.44500,O-O,0,0,0,0,0
1.44500,O-H,0.05524387354,0.006171008979,0.07932453637,0.00740984812,-0.02408066283
1.45500,Si-O,0,0,0,0,0
1.45500,O-O,0,0,0,0,0
1.45500,O-H,0.0621712011,0.006518624545,0.1082756873,0.008752144854,-0.04610448621
1.46500,Si-O,0,0,0,0,0
1.46500,O-O,0,0,0,0,0
1.46500,O-H,0.09646683886,0.008280062371,0.1192054509,0.009064882166,-0.02273861202
1.47500,Si-O,0,0,0,0,0
1.47500,O-O,0,0,0,0,0
1.47500,O-H,0.1046795782,0.008164889847,0.1604180549,0.01013479298,-0.0557384767
1.48500,Si-O,0,0,0,0,0
1.48500,O-O,0,0,0,0,0
