layer_index,z_min_A,z_max_A,wavenumber_cm-1_shifted_plus80,VDOS_area_normalized_mean_unsmoothed,VDOS_SEM_50_blocks
4,16,20,1828.849840,0.0001703638784,1.751799199e-05
4,16,20,1830.885754,0.0001640769437,2.061826142e-05
4,16,20,1832.921667,0.0001544528402,2.129585658e-05
4,16,20,1834.957581,0.0001415150901,1.748515778e-05
4,16,20,1836.993495,0.0001332687005,1.383390003e-05
4,16,20,1839.029408,0.000129741305,1.294462135e-05
4,16,20,1841.065322,0.0001271823212,1.31753453e-05
4,16,20,1843.101236,0.0001247961698,1.211624521e-05
4,16,20,1845.137149,0.0001220335957,1.168207755e-05
4,16,20,1847.173063,0.000119489254,1.186476586e-05
4,16,20,1849.208977,0.000118463686,1.217280286e-05
4,16,20,1851.244890,0.000115571027,1.139141695e-05
4,16,20,1853.280804,0.0001108671946,1.014849835e-05
4,16,20,1855.316718,0.0001095766844,1.127878812e-05
4,16,20,1857.352631,0.0001113720189,1.094125383e-05
4,16,20,1859.388545,0.0001103918865,1.020823773e-05
4,16,20,1861.424459,0.0001019989095,9.862375746e-06
4,16,20,1863.460372,9.069607477e-05,9.645086025e-06
4,16,20,1865.496286,8.48909102e-05,1.016898929e-05
4,16,20,1867.532200,8.299423189e-05,1.065135677e-05
4,16,20,1869.568113,8.150303945e-05,9.4230304e-06
4,16,20,1871.604027,8.191544873e-05,8.13680483e-06
4,16,20,1873.639941,8.072936077e-05,7.395584066e-06
4,16,20,1875.675854,7.557549346e-05,7.175295764e-06
4,16,20,1877.711768,7.126665521e-05,7.298323937e-06
4,16,20,1879.747682,6.946798811e-05,7.15085357e-06
4,16,20,1881.783595,6.828306282e-05,7.302635531e-06
4,16,20,1883.819509,6.879656028e-05,7.631334363e-06
4,16,20,1885.855423,6.98156542e-05,7.598130296e-06
4,16,20,1887.891336,6.720707781e-05,7.115651828e-06
4,16,20,1889.927250,6.442613793e-05,6.624717407e-06
