layer,depth_min_A,depth_max_A,n_waters,plotted_wavenumber_cm-1,calculated_wavenumber_cm-1,normalized_VDOS
1,0.0,4.0,22,1351.9370634463226,1271.9370634463226,0.039454583912484444
1,0.0,4.0,22,1352.4460418630676,1272.4460418630676,0.03961977076422658
1,0.0,4.0,22,1352.955020279813,1272.955020279813,0.03982525964624751
1,0.0,4.0,22,1353.463998696558,1273.463998696558,0.040064324062860826
1,0.0,4.0,22,1353.9729771133034,1273.9729771133034,0.04032757326333704
1,0.0,4.0,22,1354.4819555300487,1274.4819555300487,0.040602806242222095
1,0.0,4.0,22,1354.9909339467938,1274.9909339467938,0.040875385286027216
1,0.0,4.0,22,1355.4999123635391,1275.4999123635391,0.04112934348226676
1,0.0,4.0,22,1356.0088907802842,1276.0088907802842,0.04134921165340371
1,0.0,4.0,22,1356.5178691970295,1276.5178691970295,0.04152226944694084
1,0.0,4.0,22,1357.0268476137746,1277.0268476137746,0.04164069554087461
1,0.0,4.0,22,1357.53582603052,1277.53582603052,0.041703009035732805
1,0.0,4.0,22,1358.0448044472653,1278.0448044472653,0.04171430933357151
1,0.0,4.0,22,1358.5537828640104,1278.5537828640104,0.04168511801852475
1,0.0,4.0,22,1359.0627612807557,1279.0627612807557,0.04162901850481572
1,0.0,4.0,22,1359.5717396975008,1279.5717396975008,0.04155965100753151
1,0.0,4.0,22,1360.080718114246,1280.080718114246,0.0414878274528837
1,0.0,4.0,22,1360.5896965309914,1280.5896965309914,0.041419507023023334
1,0.0,4.0,22,1361.0986749477365,1281.0986749477365,0.041355120198140215
1,0.0,4.0,22,1361.6076533644818,1281.6076533644818,0.041290329989873926
1,0.0,4.0,22,1362.116631781227,1282.116631781227,0.04121790823268564
1,0.0,4.0,22,1362.6256101979723,1282.6256101979723,0.041130119773775176
1,0.0,4.0,22,1363.1345886147174,1283.1345886147174,0.041020936888999604
1,0.0,4.0,22,1363.6435670314627,1283.6435670314627,0.04088755712567375
1,0.0,4.0,22,1364.152545448208,1284.152545448208,0.04073099443369512
1,0.0,4.0,22,1364.661523864953,1284.661523864953,0.04055583061559539
1,0.0,4.0,22,1365.1705022816984,1285.1705022816984,0.040369429822419554
1,0.0,4.0,22,1365.6794806984435,1285.6794806984435,0.04018096508434429
1,0.0,4.0,22,1366.1884591151888,1286.1884591151888,0.04000049508536865
1,0.0,4.0,22,1366.6974375319342,1286.6974375319342,0.03983814438550651
1,0.0,4.0,22,1367.2064159486793,1287.2064159486793,0.03970329234675492
1,0.0,4.0,22,1367.7153943654246,1287.7153943654246,0.03960365000771271
1,0.0,4.0,22,1368.2243727821697,1288.2243727821697,0.03954421639075492
1,0.0,4.0,22,1368.733351198915,1288.733351198915,0.03952629489516783
1,0.0,4.0,22,1369.24232961566,1289.24232961566,0.03954690673753036
1,0.0,4.0,22,1369.7513080324054,1289.7513080324054,0.03959895786760145
1,0.0,4.0,22,1370.2602864491507,1290.2602864491507,0.03967235395641987
1,0.0,4.0,22,1370.7692648658958,1290.7692648658958,0.0397559569083247
1,0.0,4.0,22,1371.2782432826411,1291.2782432826411,0.03983995050314828
1,0.0,4.0,22,1371.7872216993862,1291.7872216993862,0.03991797037137485
1,0.0,4.0,22,1372.2962001161316,1292.2962001161316,0.039988354408396466
1,0.0,4.0,22,1372.8051785328769,1292.8051785328769,0.04005409990872241
1,0.0,4.0,22,1373.314156949622,1293.314156949622,0.04012149694211835
1,0.0,4.0,22,1373.8231353663673,1293.8231353663673,0.04019780774437848
1,0.0,4.0,22,1374.3321137831124,1294.3321137831124,0.040288640253024144
1,0.0,4.0,22,1374.8410921998577,1294.8410921998577,0.04039573362136856
1,0.0,4.0,22,1375.3500706166028,1295.3500706166028,0.040515728822674166
1,0.0,4.0,22,1375.8590490333481,1295.8590490333481,0.04064020614795706
1,0.0,4.0,22,1376.3680274500935,1296.3680274500935,0.04075693897134669
1,0.0,4.0,22,1376.8770058668385,1296.8770058668385,0.04085203798259514
1,0.0,4.0,22,1377.3859842835839,1297.3859842835839,0.040912500960694785
1,0.0,4.0,22,1377.894962700329,1297.894962700329,0.04092865058398773
1,0.0,4.0,22,1378.4039411170743,1298.4039411170743,0.040896011898459504
1,0.0,4.0,22,1378.9129195338196,1298.9129195338196,0.040816314056024906
1,0.0,4.0,22,1379.4218979505647,1299.4218979505647,0.040697464704327474
